bit_flipped,avalanche
120,0.59375
61,0.4296875
49,0.4921875
26,0.5078125
2,0.46875
78,0.4609375
28,0.5
108,0.4453125
4,0.515625
109,0.5078125
84,0.6484375
48,0.4453125
78,0.46875
101,0.4765625
68,0.46875
118,0.5078125
7,0.5546875
44,0.4765625
114,0.484375
31,0.484375
65,0.3828125
11,0.46875
35,0.5234375
98,0.5
51,0.4921875
58,0.4765625
79,0.5
90,0.4609375
19,0.4765625
11,0.5
83,0.53125
87,0.46875
70,0.515625
120,0.4921875
101,0.546875
91,0.453125
90,0.4765625
28,0.515625
92,0.453125
108,0.5546875
93,0.515625
116,0.4609375
13,0.4296875
4,0.5
107,0.578125
122,0.53125
15,0.5546875
79,0.5625
32,0.4921875
85,0.5
64,0.5234375
37,0.53125
23,0.5
96,0.4765625
72,0.53125
69,0.5
1,0.5
96,0.4140625
22,0.515625
95,0.4375
76,0.4765625
120,0.4609375
67,0.546875
26,0.5234375
53,0.4609375
122,0.5078125
86,0.53125
63,0.546875
97,0.609375
46,0.515625
46,0.625
118,0.4921875
117,0.4375
24,0.453125
62,0.5234375
102,0.5
103,0.53125
101,0.484375
58,0.5703125
61,0.546875
3,0.4765625
18,0.5703125
118,0.5859375
109,0.4375
49,0.4296875
36,0.53125
14,0.5546875
96,0.59375
102,0.5078125
110,0.4140625
65,0.4453125
88,0.4375
66,0.4921875
64,0.46875
108,0.4765625
62,0.4609375
117,0.5078125
118,0.546875
109,0.4140625
122,0.5234375
51,0.5390625
93,0.5234375
116,0.46875
58,0.5078125
89,0.46875
104,0.4375
35,0.5390625
43,0.4765625
8,0.515625
39,0.4296875
105,0.546875
29,0.5546875
96,0.4375
29,0.4609375
55,0.46875
18,0.5078125
90,0.484375
82,0.5
119,0.4609375
124,0.484375
39,0.5
108,0.484375
105,0.515625
92,0.3828125
43,0.5390625
24,0.46875
14,0.5703125
106,0.421875
30,0.484375
64,0.484375
23,0.4921875
23,0.5078125
28,0.453125
68,0.59375
122,0.4453125
127,0.5078125
109,0.4296875
105,0.4765625
29,0.453125
22,0.5
85,0.546875
64,0.5546875
9,0.5390625
123,0.484375
80,0.4765625
112,0.4921875
100,0.3984375
33,0.5859375
36,0.5390625
78,0.5
56,0.4609375
61,0.484375
62,0.421875
81,0.515625
118,0.453125
63,0.53125
111,0.4296875
17,0.546875
6,0.515625
111,0.5625
19,0.4453125
62,0.4765625
83,0.5390625
44,0.4453125
43,0.46875
76,0.5
6,0.5
6,0.546875
58,0.515625
51,0.484375
112,0.5078125
52,0.4921875
62,0.5234375
69,0.5625
70,0.53125
55,0.5859375
4,0.484375
113,0.546875
60,0.5078125
54,0.453125
94,0.53125
6,0.484375
7,0.4453125
61,0.546875
11,0.4921875
73,0.4609375
48,0.4375
65,0.4765625
29,0.515625
59,0.4921875
45,0.53125
23,0.484375
33,0.4609375
30,0.453125
71,0.484375
94,0.578125
41,0.4765625
39,0.5625
64,0.5078125
2,0.4921875
103,0.453125
28,0.53125
110,0.5703125
119,0.4375
54,0.4921875
26,0.4921875
14,0.515625
125,0.5
24,0.515625
82,0.4609375
55,0.515625
80,0.5625
68,0.4609375
32,0.5390625
90,0.4765625
90,0.53125
58,0.53125
14,0.5
15,0.5234375
35,0.53125
13,0.5234375
14,0.4921875
88,0.453125
103,0.4453125
127,0.5390625
25,0.5390625
36,0.4609375
102,0.5
71,0.484375
49,0.515625
117,0.4609375
4,0.5078125
100,0.4921875
61,0.5
66,0.5078125
53,0.484375
29,0.4921875
2,0.484375
98,0.46875
102,0.4921875
58,0.5390625
74,0.4921875
81,0.546875
58,0.4765625
71,0.5390625
6,0.5390625
52,0.4765625
109,0.46875
56,0.5234375
125,0.5546875
65,0.4609375
63,0.578125
0,0.5234375
122,0.546875
64,0.546875
